,Season,AQI,City
0,201402,36.514250737185506,深圳
1,201403,41.7003358984648,深圳
2,201404,67.26727073369669,深圳
3,201501,63.10804008073118,深圳
4,201502,36.179024812629855,深圳
5,201503,40.04988135070664,深圳
6,201504,50.720392413926966,深圳
7,201601,47.21634179244689,深圳
8,201602,34.03836072296863,深圳
9,201603,37.06387540177864,深圳
10,201604,49.52643836312562,深圳
11,201701,49.7939211047722,深圳
12,201702,36.34940352974035,深圳
13,201703,31.919546221357823,深圳
14,201704,55.5176101241494,深圳
15,201801,52.128619055148924,深圳
16,201802,37.556495912733396,深圳
17,201803,31.904214210288547,深圳
18,201804,46.252625105579654,深圳
19,201901,41.04181744311478,深圳
20,201902,28.65956665680664,深圳
21,201903,34.14419725859196,深圳
22,201904,58.27716672839393,深圳
23,202001,37.294419814324975,深圳
24,202002,27.814556386681204,深圳
25,202003,23.694640408290482,深圳
26,202004,47.89519318555668,深圳
27,202101,45.068301553908135,深圳
28,202102,31.16500246740429,深圳
0,201402,28.72574398226572,珠海
1,201403,37.541393180820066,珠海
2,201404,75.81032735070565,珠海
3,201501,70.31626248628002,珠海
4,201502,35.22448845116032,珠海
5,201503,42.21419174718077,珠海
6,201504,56.31119745339593,珠海
7,201601,49.560636470621006,珠海
8,201602,32.994110066927696,珠海
9,201603,34.87716259962053,珠海
10,201604,54.198728799965785,珠海
11,201701,53.35890031408101,珠海
12,201702,33.99873783108665,珠海
13,201703,28.752549676398434,珠海
14,201704,64.58873908219981,珠海
15,201801,58.083311316579,珠海
16,201802,36.69966684241013,珠海
17,201803,30.75709028587552,珠海
18,201804,51.13418611315699,珠海
19,201901,46.89294657150547,珠海
20,201902,25.90682054146161,珠海
21,201903,31.75300549078009,珠海
22,201904,57.634073029574786,珠海
23,202001,36.516930545560754,珠海
24,202002,26.290807620383355,珠海
25,202003,20.969581666753236,珠海
26,202004,49.1628611185881,珠海
27,202101,48.74752011954852,珠海
28,202102,29.986967560126747,珠海
0,201402,49.655325930108546,佛山
1,201403,45.55116651509294,佛山
2,201404,81.89476657380767,佛山
3,201501,68.39576060309231,佛山
4,201502,41.76291531792149,佛山
5,201503,54.26676831378279,佛山
6,201504,66.07775942035022,佛山
7,201601,56.76929478808983,佛山
8,201602,45.39618914277276,佛山
9,201603,53.01086532487303,佛山
10,201604,71.29858003326461,佛山
11,201701,75.35971706071274,佛山
12,201702,54.56329497026118,佛山
13,201703,46.29882440188074,佛山
14,201704,66.03355734767025,佛山
15,201801,68.22732892245257,佛山
16,201802,49.15849730236821,佛山
17,201803,43.16916562925957,佛山
18,201804,58.68282440638682,佛山
19,201901,53.15568737110637,佛山
20,201902,38.69597763507541,佛山
21,201903,45.2995177980386,佛山
22,201904,69.12042066424864,佛山
23,202001,41.276744648246606,佛山
24,202002,36.09174588333074,佛山
25,202003,33.00598852007688,佛山
26,202004,49.53399660072754,佛山
27,202101,57.46634386339856,佛山
28,202102,38.4675614253805,佛山
0,201402,32.45495542903152,中山
1,201403,36.88211517723025,中山
2,201404,77.16743840356908,中山
3,201501,68.18532783673913,中山
4,201502,30.876642553277964,中山
5,201503,40.151250910048816,中山
6,201504,60.09337038070263,中山
7,201601,49.63752153737404,中山
8,201602,34.92449668965056,中山
9,201603,40.36370936281525,中山
10,201604,59.64112640760373,中山
11,201701,63.97896389541767,中山
12,201702,40.03596161295918,中山
13,201703,35.953231922960775,中山
14,201704,67.41526636835192,中山
15,201801,58.91096977009597,中山
16,201802,39.36452298686948,中山
17,201803,35.99189153163681,中山
18,201804,53.3488949991492,中山
19,201901,50.745316506580544,中山
20,201902,29.531464935750204,中山
21,201903,38.269046613693774,中山
22,201904,64.61704497343845,中山
23,202001,36.735943670509855,中山
24,202002,31.129367954911427,中山
25,202003,26.550861859989954,中山
26,202004,49.694901091324645,中山
27,202101,49.39594889221652,中山
28,202102,32.630004285491665,中山
0,201402,42.71902503293809,江门
1,201403,41.49622561274512,江门
2,201404,88.47406958668877,江门
3,201501,77.81009782338847,江门
4,201502,32.07522142793956,江门
5,201503,41.015413312261174,江门
6,201504,56.46127016785724,江门
7,201601,51.25290739283339,江门
8,201602,44.031462158936385,江门
9,201603,49.6097631985956,江门
10,201604,70.57416183104006,江门
11,201701,68.33805795822919,江门
12,201702,48.634501875608215,江门
13,201703,44.187239826300136,江门
14,201704,73.63848408616992,江门
15,201801,65.06581814586515,江门
16,201802,45.4381774374504,江门
17,201803,41.95830058276703,江门
18,201804,58.013887544694654,江门
19,201901,49.93990565593828,江门
20,201902,34.420144080332236,江门
21,201903,42.28945537946507,江门
22,201904,65.2559241509784,江门
23,202001,40.17995673023189,江门
24,202002,35.26236104617941,江门
25,202003,30.65815619967793,江门
26,202004,51.179554918831464,江门
27,202101,55.85922943461974,江门
28,202102,37.37330788011013,江门
0,201402,43.88307309638832,东莞
1,201403,51.108777549665916,东莞
2,201404,75.95097648609958,东莞
3,201501,67.89997324814296,东莞
4,201502,38.657558237951044,东莞
5,201503,49.23833024643721,东莞
6,201504,60.094436957044365,东莞
7,201601,54.73503497518103,东莞
8,201602,45.19868541008381,东莞
9,201603,48.99130806988452,东莞
10,201604,59.63363123605082,东莞
11,201701,63.045975118043565,东莞
12,201702,50.469166862701826,东莞
13,201703,44.23611494517292,东莞
14,201704,62.51278263837872,东莞
15,201801,68.79241032551403,东莞
16,201802,47.65765394284125,东莞
17,201803,41.921867968925866,东莞
18,201804,54.94526823463534,东莞
19,201901,51.909861804277995,东莞
20,201902,37.19686737909205,东莞
21,201903,46.41707084478981,东莞
22,201904,69.26803313703458,东莞
23,202001,44.48914387321096,东莞
24,202002,35.52578567347151,东莞
25,202003,33.62962872058594,东莞
26,202004,45.502068605645036,东莞
27,202101,53.42323501747591,东莞
28,202102,37.5201132408706,东莞
0,201402,42.65638596105988,惠州
1,201403,41.819672372314855,惠州
2,201404,66.60615615107015,惠州
3,201501,54.04499675594521,惠州
4,201502,39.544759546671884,惠州
5,201503,45.23843381484844,惠州
6,201504,49.6061533061546,惠州
7,201601,46.05215097729728,惠州
8,201602,38.90879876440268,惠州
9,201603,41.62350947387764,惠州
10,201604,51.65007700636014,惠州
11,201701,54.17761015924295,惠州
12,201702,44.18378105793439,惠州
13,201703,39.368277973303684,惠州
14,201704,58.769470880919,惠州
15,201801,55.62497241767208,惠州
16,201802,45.11400080438125,惠州
17,201803,37.94886275943324,惠州
18,201804,46.434619892211046,惠州
19,201901,43.455563828021745,惠州
20,201902,34.56533177218551,惠州
21,201903,38.994323416430994,惠州
22,201904,61.617694669828,惠州
23,202001,38.267461512851135,惠州
24,202002,33.72176964832996,惠州
25,202003,30.51383219326952,惠州
26,202004,49.043207948268716,惠州
27,202101,49.116619784032316,惠州
28,202102,35.27743818502935,惠州
0,201402,55.29955347993392,肇庆
1,201403,52.34338429236905,肇庆
2,201404,82.18591268731704,肇庆
3,201501,77.63780901835425,肇庆
4,201502,46.151646577079795,肇庆
5,201503,50.67019957438332,肇庆
6,201504,54.589440607776595,肇庆
7,201601,53.571523561288785,肇庆
8,201602,51.99391064310811,肇庆
9,201603,50.015628823412825,肇庆
10,201604,67.87001663992153,肇庆
11,201701,73.70471262789704,肇庆
12,201702,52.87638586353833,肇庆
13,201703,49.260667523652565,肇庆
14,201704,64.09598267622461,肇庆
15,201801,73.08506778704938,肇庆
16,201802,50.523555094571094,肇庆
17,201803,44.50822641749832,肇庆
18,201804,58.595862494214536,肇庆
19,201901,55.897127455682856,肇庆
20,201902,39.92307762088009,肇庆
21,201903,42.686921403679904,肇庆
22,201904,62.906371049672146,肇庆
23,202001,42.238347902678406,肇庆
24,202002,31.84475286998077,肇庆
25,202003,32.00941379668589,肇庆
26,202004,39.835196833537175,肇庆
27,202101,49.057285057548036,肇庆
28,202102,35.469388603189444,肇庆
0,201402,54.517233114901885,南宁
1,201403,49.91557729456334,南宁
2,201404,89.43751948925603,南宁
3,201501,84.48333836933415,南宁
4,201502,55.04504675922692,南宁
5,201503,51.72448609760133,南宁
6,201504,64.72890269967095,南宁
7,201601,70.8727161956656,南宁
8,201602,48.577891713646814,南宁
9,201603,47.38327438560608,南宁
10,201604,59.94934693800229,南宁
11,201701,65.22966052172204,南宁
12,201702,45.298890839716684,南宁
13,201703,39.37612456911779,南宁
14,201704,66.5412156696869,南宁
15,201801,69.1494517337089,南宁
16,201802,45.41822025557127,南宁
17,201803,41.60974744160695,南宁
18,201804,53.35708387211717,南宁
19,201901,49.566071264134024,南宁
20,201902,41.30984778750963,南宁
21,201903,43.988899341515406,南宁
