,Region,Province,City,
0,华北,北京,北京,
1,华北,天津,天津,
2,华北,河北,石家庄,
3,华北,河北,唐山,
4,华北,河北,秦皇岛,
5,华北,河北,邯郸,
6,华北,河北,保定,
7,华北,河北,张家口,
8,华北,河北,承德,
9,华北,河北,廊坊, 
10,华北,河北,沧州,
11,华北,河北,衡水,
12,华北,河北,邢台,
13,华北,山西,太原,
14,华北,内蒙古自治区,呼和浩特,
15,东北,辽宁,沈阳,
16,东北,辽宁,大连,
17,东北,吉林,长春,
18,东北,黑龙江,哈尔滨,
19,华东,上海,上海,
20,华东,江苏,南京,
21,华东,江苏,苏州,
22,华东,江苏,南通,
23,华东,江苏,连云港,
24,华东,江苏,徐州,
25,华东,江苏,扬州,
26,华东,江苏,无锡,
27,华东,江苏,常州,
28,华东,江苏,镇江,
29,华东,江苏,泰州,
30,华东,江苏,淮安,
31,华东,江苏,盐城,
32,华东,江苏,宿迁,
33,华东,浙江,杭州,
34,华东,浙江,宁波,
35,华东,浙江,温州,
36,华东,浙江,绍兴,
37,华东,浙江,湖州,
38,华东,浙江,嘉兴,
39,华东,浙江,台州,
40,华东,浙江,舟山,
41,华东,浙江,金华,
42,华东,浙江,衢州,
43,华东,浙江,丽水,
44,华东,安徽,合肥,
45,华东,福建,福州,
46,华东,福建,厦门,
47,华东,江西,南昌,
48,华东,山东,济南,
49,华东,山东,青岛,
50,华中,河南,郑州,
51,华中,湖北,武汉,
52,华中,湖南,长沙,
53,华南,广东,广州,
54,华南,广东,深圳,
55,华南,广东,珠海,
56,华南,广东,佛山,
57,华南,广东,中山,
58,华南,广东,江门,
59,华南,广东,东莞,
60,华南,广东,惠州,
61,华南,广东,肇庆,
62,华南,广西壮族自治区,南宁,
63,华南,海南,海口,
64,西南,重庆,重庆,
65,西南,四川,成都,
66,西南,贵州,贵阳,
67,西南,云南,昆明,
68,西南,西藏自治区,拉萨,
69,西北,陜西,西安,
70,西北,甘肃,兰州,
71,西北,青海,西宁,
72,西北,宁夏回族自治区,银川,
73,西北,新疆维吾尔自治区,乌鲁木齐,
74,华中,湖南,湘潭,
75,华中,湖南,株洲,
76,华北,内蒙古自治区,包头,
77,华北,内蒙古自治区,鄂尔多斯,
78,东北,辽宁,营口,
79,东北,辽宁,丹东,
80,东北,辽宁,盘锦,
81,东北,辽宁,葫芦岛,
82,华东,福建,泉州,
83,华东,山东,临沂,
84,华东,山东,德州,
85,华东,山东,聊城,
86,华东,山东,滨州,
87,华东,山东,淄博,
88,华东,山东,枣庄,
89,华东,山东,烟台,
90,华东,山东,潍坊,
91,华东,山东,济宁,
92,华东,山东,泰安,
93,华东,山东,日照,
94,华东,山东,威海,
95,华东,山东,东营,
96,华南,广东,韶关,
97,华南,广东,汕头,
98,华南,广东,湛江,
99,华南,广东,茂名,
100,华南,广东,梅州,
101,华南,广东,汕尾,
102,华南,广东,河源,
103,华南,广东,阳江,
104,华南,广东,清远,
105,华南,广东,潮州,
106,华南,广东,揭阳,
107,华南,广东,云浮,
108,西南,云南,玉溪,
109,华东,山东,菏泽,
110,华北,山西,大同,
111,华北,山西,长治,
112,华北,山西,临汾,
113,华北,山西,阳泉,
114,华北,内蒙古自治区,赤峰,
115,东北,辽宁,鞍山,
116,东北,辽宁,抚顺,
117,东北,辽宁,本溪,
118,东北,辽宁,锦州,
119,东北,吉林,吉林,
120,东北,黑龙江,齐齐哈尔,
121,东北,黑龙江,牡丹江,
122,东北,黑龙江,大庆,
123,华东,安徽,芜湖,
124,华东,安徽,马鞍山,
125,华东,江西,九江,
126,华中,河南,洛阳,
127,华中,河南,安阳,
128,华中,河南,开封,
129,华中,河南,焦作,
130,华中,河南,平顶山,
131,华中,河南,三门峡,
132,华中,湖北,宜昌,
133,华中,湖北,荆州,
134,华中,湖南,岳阳,
135,华中,湖南,常德,
136,华中,湖南,张家界,
137,华南,广西壮族自治区,桂林,
138,华南,广西壮族自治区,北海,
139,华南,广西壮族自治区,柳州,
140,华南,海南,三亚,
