,Region,Province,City,Longtitude,Latitude,Rate
0,华北,北京,北京,116.4,39.9,1
1,华北,天津,天津,117.2,39.12,1
2,华北,河北,石家庄,114.52,38.05,1
3,华北,河北,唐山,118.2,39.63,2
4,华北,河北,秦皇岛,119.6,39.93,2
5,华北,河北,邯郸,114.48,36.62,2
6,华北,河北,保定,115.47,38.87,2
7,华北,河北,张家口,114.88,40.82,2
8,华北,河北,承德,117.93,40.97,2
9,华北,河北,廊坊,116.7,39.52,3
10,华北,河北,沧州,116.83,38.3,2
11,华北,河北,衡水,115.68,37.73,2
12,华北,河北,邢台,114.48,37.07,2
13,华北,山西,太原,112.55,37.87,1
14,华北,内蒙古自治区,呼和浩特,111.73,40.83,1
15,东北,辽宁,沈阳,123.43,41.8,1
16,东北,辽宁,大连,121.62,38.92,2
17,东北,吉林,长春,125.32,43.9,1
18,东北,黑龙江,哈尔滨,126.53,45.8,1
19,华东,上海,上海,121.47,31.23,1
20,华东,江苏,南京,118.78,32.07,1
21,华东,江苏,苏州,120.58,31.3,2
22,华东,江苏,南通,120.88,31.98,2
23,华东,江苏,连云港,119.22,34.6,2
24,华东,江苏,徐州,117.18,34.27,2
25,华东,江苏,扬州,119.4,32.4,3
26,华东,江苏,无锡,120.3,31.57,3
27,华东,江苏,常州,119.95,31.78,2
28,华东,江苏,镇江,119.45,32.2,2
29,华东,江苏,泰州,119.92,32.45,2
30,华东,江苏,淮安,119.02,33.62,2
31,华东,江苏,盐城,120.15,33.35,2
32,华东,江苏,宿迁,118.28,33.97,2
33,华东,浙江,杭州,120.15,30.28,1
34,华东,浙江,宁波,121.55,29.88,2
35,华东,浙江,温州,120.7,28,2
36,华东,浙江,绍兴,120.57,30,3
37,华东,浙江,湖州,120.08,30.9,2
38,华东,浙江,嘉兴,120.75,30.75,2
39,华东,浙江,台州,121.43,28.68,3
40,华东,浙江,舟山,122.2,30,2
41,华东,浙江,金华,119.65,29.08,2
42,华东,浙江,衢州,118.87,28.93,2
43,华东,浙江,丽水,119.92,28.45,2
44,华东,安徽,合肥,117.25,31.83,1
45,华东,福建,福州,119.3,26.08,1
46,华东,福建,厦门,118.08,24.48,2
47,华东,江西,南昌,115.85,28.68,1
48,华东,山东,济南,116.98,36.67,1
49,华东,山东,青岛,120.38,36.07,2
50,华中,河南,郑州,113.62,34.75,1
51,华中,湖北,武汉,114.3,30.6,1
52,华中,湖南,长沙,112.93,28.23,1
53,华南,广东,广州,113.27,23.13,1
54,华南,广东,深圳,114.05,22.55,2
55,华南,广东,珠海,113.57,22.27,3
